bodyId,out_degree,in_degree,total_output_weight,total_input_weight,predictedNt,type
18113,427,350,2350,1526,glutamate,FB6N
18156,456,337,1843,2677,dopamine,ExR2
18178,320,206,1494,1075,glutamate,FB2I_a
18221,440,285,2492,2369,unclear,FB2B_a
18242,541,397,2802,1539,acetylcholine,CRE005
18327,169,366,1719,2550,acetylcholine,PFL3
18377,112,99,1308,943,gaba,ER3w_b
18382,202,304,1001,1495,acetylcholine,VES203m
18419,155,149,2550,2324,acetylcholine,PEN_a(PEN1)
18422,432,288,3128,1378,glutamate,FB6C_b
18437,54,226,598,1523,unclear,FR1
18482,206,232,1826,2664,acetylcholine,hDeltaD
18504,163,149,2668,2425,acetylcholine,PEN_a(PEN1)
18508,173,178,2523,1987,gaba,ER2_c
18586,273,209,708,1455,serotonin,PFR_a
18625,118,214,1245,1126,acetylcholine,PFL1
18633,120,68,2017,1172,gaba,ER5
18639,154,122,2237,1099,glutamate,Delta7
18664,184,188,2167,1656,gaba,ER2_c
18666,440,333,3318,1603,glutamate,FB4P_b
18670,259,248,1438,1570,acetylcholine,PFR_b
18717,218,361,1130,2200,acetylcholine,CB1189
18733,172,173,2431,1850,gaba,ER2_c
18744,159,148,2319,2198,acetylcholine,PEN_a(PEN1)
18779,158,154,2403,2545,acetylcholine,PEN_a(PEN1)
18803,139,345,1165,2282,acetylcholine,PFL3
18823,187,116,2228,1262,glutamate,Delta7
18830,345,366,1534,1126,gaba,AVLP760m
18851,150,351,1492,2618,acetylcholine,PFL3
18899,406,306,3639,1545,glutamate,FB6G
18932,156,135,1558,2055,acetylcholine,PEN_b(PEN2)
18982,454,494,3205,3342,glutamate,FB2D
18999,243,282,920,1169,acetylcholine,SMP713m
19009,157,325,1536,2202,acetylcholine,PFL3
19011,58,108,705,622,acetylcholine,IbSpsP
19013,424,470,1500,2277,acetylcholine,AVLP715m
19072,105,55,1805,1105,gaba,ER5
19100,235,151,3303,2512,acetylcholine,hDeltaB
19125,271,363,2398,3927,acetylcholine,EPG
19169,154,131,1349,1332,gaba,ER3m
19189,140,138,2186,2431,acetylcholine,PEN_a(PEN1)
19223,223,307,1042,1443,glutamate,ICL003m
19238,277,237,2015,1221,glutamate,FB7A
19266,370,261,1929,1247,glutamate,FB4R
19269,142,168,1113,1132,acetylcholine,PFL1
19323,163,152,2641,2132,gaba,ER4d
19337,363,207,1538,1051,glutamate,FB2I_a
19355,171,175,2396,1666,gaba,ER2_c
19367,75,267,494,1715,serotonin,PFGs
19369,544,647,4773,2763,glutamate,AOTU046
19373,474,353,3426,1611,glutamate,FB4P_c
19410,159,145,2336,2109,gaba,ER4d
19425,168,178,2378,1809,gaba,ER2_c
19443,287,240,788,1401,serotonin,PFR_a
19460,529,386,3147,2018,glutamate,FB4P_c
19564,129,293,791,1965,serotonin,PFGs
19569,171,174,2311,1894,gaba,ER2_c
19602,225,142,3169,2409,acetylcholine,hDeltaB
19606,360,389,1575,1552,acetylcholine,
19616,378,243,2361,1080,glutamate,LAL208
19700,346,227,1453,1180,glutamate,FB2I_a
19705,386,344,2181,1310,acetylcholine,pC1_2b
19715,158,331,1146,2796,acetylcholine,PFL2
19737,152,141,2390,2035,gaba,ER4d
19754,485,448,1946,1640,glutamate,CB3439
19760,197,151,2228,2592,acetylcholine,PEN_b(PEN2)
19791,144,137,2450,2148,gaba,ER4d
19798,203,355,1608,3363,acetylcholine,hDeltaG
19807,164,170,2483,1894,gaba,ER2_c
19825,278,372,2372,3985,acetylcholine,EPG
19900,184,186,2338,1736,gaba,ER2_c
19917,182,173,2470,1889,gaba,ER2_c
19935,191,191,2169,1586,gaba,ER2_c
19974,285,202,1097,1080,glutamate,FB2I_a
20007,88,98,958,1144,acetylcholine,PEG
20026,106,61,1860,1118,gaba,ER5
20055,415,471,1749,1961,acetylcholine,
20070,59,125,175,370,acetylcholine,FR2
20145,249,393,1839,2623,glutamate,IB110
20231,212,342,1124,2432,acetylcholine,hDeltaC
20233,396,256,4423,1628,acetylcholine,ExR7
20253,192,194,2335,1827,gaba,ER2_a
20279,129,181,1373,1344,acetylcholine,PFL1
20291,343,434,1088,2190,glutamate,SIP122m
20317,182,181,2103,1557,gaba,ER2_c
20331,375,373,1873,1332,glutamate,FB6B
20339,142,130,579,706,acetylcholine,PFNm_b
20347,364,625,1970,5108,acetylcholine,SMP052
20383,305,273,1318,788,acetylcholine,SCL001m
20385,87,78,1112,1034,gaba,ER3a_a
20404,153,154,2562,2243,gaba,ER4d
20449,256,472,1186,1947,acetylcholine,AVLP193
20478,221,142,1303,973,glutamate,FB1D
20514,125,87,1251,1235,gaba,ER3d_d
20517,242,374,1167,1605,acetylcholine,ICL012m
20520,227,134,2869,2306,acetylcholine,hDeltaB
20559,192,196,2212,1584,gaba,ER2_a
20565,237,372,2034,3604,acetylcholine,hDeltaG
20578,194,143,1061,789,glutamate,FB1D
20590,193,195,2184,1574,gaba,ER2_a
20605,197,185,2203,1692,gaba,ER2_a
20653,146,129,2501,1997,gaba,ER4d
20664,201,191,2200,1650,gaba,ER2_a
20678,195,200,2003,1601,gaba,ER2_d
20715,350,379,2653,5170,octopamine,EL
20781,61,241,446,1655,serotonin,PFGs
20792,191,306,1553,3481,acetylcholine,hDeltaL
20818,156,136,2390,2350,acetylcholine,PEN_a(PEN1)
20883,159,174,2320,1737,gaba,ER2_c
20906,451,292,2270,1050,glutamate,FB2F_a
20925,321,432,1930,1655,glutamate,FB6M
20945,168,182,2255,1862,gaba,ER2_c
20951,199,308,1053,1822,acetylcholine,hDeltaC
20969,218,269,1448,3489,acetylcholine,hDeltaE
20980,149,137,2504,1978,gaba,ER4d
20997,369,202,1364,991,glutamate,FB2I_a
21018,189,328,1532,3943,acetylcholine,hDeltaA
21033,304,364,1290,1210,gaba,AVLP760m
21053,506,544,2180,2278,glutamate,FB5AA
21059,195,185,1873,1464,gaba,ER2_d
21144,229,280,598,744,acetylcholine,PVLP203m
21179,203,203,2039,1691,gaba,ER2_a
21204,309,304,1441,1252,glutamate,FB4D_a
21229,253,276,1836,2623,acetylcholine,hDeltaD
21231,250,380,1419,1334,glutamate,PPM1204
21277,197,189,2099,1546,gaba,ER2_a
21345,91,96,1040,994,acetylcholine,PFNd
21449,169,173,2311,1588,gaba,ER2_c
21519,519,529,1450,2380,dopamine,FB2A
21561,287,342,1108,1348,acetylcholine,
21645,203,195,1947,1659,gaba,ER2_a
21664,177,136,1587,1437,gaba,ER3d_e
21692,1405,908,3540,6636,serotonin,SIP087
21700,369,293,1653,1317,glutamate,FB4R
21719,335,288,3259,2156,glutamate,LAL008
21752,173,183,2323,1733,gaba,ER2_c
21785,227,138,1226,926,glutamate,FB1D
21849,300,369,1969,2342,acetylcholine,LAL155
21882,192,196,2052,1599,gaba,ER2_a
21907,424,441,2497,2197,acetylcholine,AVLP728m
21911,426,474,2822,2898,glutamate,FB2D
21932,156,124,1770,2308,acetylcholine,PEN_b(PEN2)
22001,118,72,1957,1190,gaba,ER5
22083,514,498,3267,2087,glutamate,FB4K
22084,348,362,1924,4638,octopamine,EL
22086,266,163,4348,2907,acetylcholine,hDeltaB
22103,299,282,1540,1472,glutamate,FB7H
22172,231,170,988,447,gaba,WED014
22240,177,143,2272,2247,acetylcholine,PEN_b(PEN2)
22291,467,506,2033,2306,glutamate,FB6V
22302,183,326,1416,2771,acetylcholine,hDeltaM
22343,386,354,1869,927,glutamate,FB2G_b
22446,204,361,1834,3693,acetylcholine,hDeltaH
22461,157,158,2550,2398,gaba,ER4d
22521,399,397,1707,1502,glutamate,FB5N
22644,145,114,1487,1399,gaba,ER3d_a
22657,99,275,627,1698,serotonin,PFGs
22683,200,361,1314,3229,acetylcholine,hDeltaM
22700,369,300,2689,1219,glutamate,FB4Q_a
22721,448,294,2144,825,glutamate,FB2I_b
22766,332,292,2030,1606,glutamate,FB6Z
22835,98,89,1370,1608,acetylcholine,PFNd
22838,223,376,1910,3648,acetylcholine,hDeltaH
22844,182,269,762,1061,glutamate,FB8I
22884,884,662,7557,2938,glutamate,ExR5
22923,207,343,1940,3500,acetylcholine,hDeltaM
22932,172,291,785,2248,gaba,VES095
22963,175,287,684,1524,gaba,SAD075
23071,200,271,1405,3411,acetylcholine,hDeltaE
23080,171,158,2592,2090,gaba,ER4d
23083,25,128,139,822,serotonin,hDeltaK
23090,212,155,2892,2412,acetylcholine,hDeltaB
23097,209,199,2209,1636,gaba,ER2_a
23159,174,374,1460,2897,acetylcholine,PFL3
23163,77,89,1122,900,gaba,ER3a_a
23180,93,249,727,1698,serotonin,PFGs
23197,166,154,2495,2037,gaba,ER4d
23231,154,297,680,2032,acetylcholine,hDeltaC
23232,377,291,1869,1349,glutamate,FB4D_c
23273,203,148,1934,2220,acetylcholine,PEN_b(PEN2)
23281,887,686,7595,2800,glutamate,ExR5
23315,154,159,2374,2413,gaba,ER4d
23319,243,216,1006,598,gaba,ICL008m
23325,66,157,4471,2606,unclear,GLNO
23359,37,126,349,749,serotonin,hDeltaK
23381,224,260,2063,2772,acetylcholine,hDeltaD
23419,294,254,837,749,gaba,FB3C
23461,141,77,1123,1036,acetylcholine,PFNa
23473,234,308,1182,1123,glutamate,FB5V_a
23520,163,142,2367,2177,gaba,ER4d
23565,380,216,1612,790,glutamate,FB2E
23596,392,427,1806,2184,glutamate,FB7I
23601,830,986,3380,5547,serotonin,FB4Y
23619,168,129,1443,1857,acetylcholine,PEN_b(PEN2)
23630,178,306,1163,2271,acetylcholine,hDeltaC
23643,236,197,775,668,acetylcholine,FC3_c
23654,194,256,2220,1831,acetylcholine,LAL162
23680,252,308,885,1564,glutamate,SIP141m
23703,154,192,904,768,gaba,ER1_b
23779,106,279,764,1709,serotonin,PFGs
23794,301,306,1280,1029,acetylcholine,AVLP738m
23800,251,387,1409,1446,glutamate,FB6M
23812,347,395,1861,1457,glutamate,FB4F_a
23846,592,748,3806,5768,glutamate,FB4N
23858,36,128,246,703,serotonin,hDeltaK
23859,75,91,821,767,gaba,ER3a_d
23874,153,145,2314,2009,gaba,ER4d
23986,217,269,1805,2357,acetylcholine,hDeltaD
24051,299,315,1091,1447,glutamate,FB1J
24076,147,142,2376,1931,gaba,ER4d
24088,339,273,1674,1185,unclear,FB4D_c
24093,202,187,1600,1267,gaba,ER3w_a
24122,159,158,2200,2191,gaba,ER4d
24153,34,155,323,948,serotonin,hDeltaK
24291,548,339,2857,1513,glutamate,FB4O
24314,34,114,285,679,serotonin,hDeltaK
24373,131,297,833,1934,gaba,VES096
24380,211,143,989,675,glutamate,FB1D
24382,187,135,1626,2197,acetylcholine,PEN_b(PEN2)
24387,273,265,1764,4317,acetylcholine,hDeltaF
24399,104,204,3339,2927,unclear,LNO1
24436,395,391,2235,1710,glutamate,FB5Y_a
24459,153,147,2502,2126,gaba,ER4d
24504,334,461,1328,1958,acetylcholine,CB3302
24549,131,110,1579,1187,gaba,ER3w_c
24567,231,192,1625,920,glutamate,FB7A
24671,38,145,342,933,serotonin,hDeltaK
24683,135,71,1232,896,acetylcholine,PFNv
24821,431,396,2065,1601,glutamate,FB5Y_b
24879,153,136,2563,1912,gaba,ER4d
24933,455,487,3152,3072,glutamate,FB2D
24963,38,141,310,803,serotonin,hDeltaK
25024,42,141,274,938,serotonin,hDeltaK
25036,43,110,303,707,serotonin,hDeltaK
25045,61,263,670,1981,acetylcholine,FR1
25131,364,315,2307,1163,glutamate,FB2M_a
25137,33,137,356,917,serotonin,hDeltaK
25176,42,153,357,931,serotonin,hDeltaK
25184,140,106,1162,1594,acetylcholine,PEN_b(PEN2)
25194,121,81,543,445,acetylcholine,PFNa
25203,126,122,1562,1253,gaba,ER3w_c
25210,155,356,1580,3713,acetylcholine,hDeltaH
25297,167,186,1560,1258,gaba,ER3w_a
25318,496,577,2081,2197,glutamate,FB5C
25328,360,358,1765,1260,glutamate,FB4F_b
25329,144,109,1458,1376,gaba,ER3d_c
25334,328,265,2029,1358,glutamate,FB6Z
25359,119,90,1452,1006,gaba,ER3p_a
25371,418,315,3507,1701,glutamate,FB6G
25447,133,127,1600,1278,gaba,ER3w_c
25473,254,333,1214,1285,glutamate,SIP118m
25494,148,131,1576,1393,gaba,ER3d_e
25501,129,105,1480,1090,gaba,ER3w_b
25509,386,266,1722,854,glutamate,FB2J_b
25529,543,532,1781,2760,dopamine,FB2A
25530,354,278,2226,940,glutamate,FB2F_a
25549,213,269,1407,1636,acetylcholine,PFR_b
25554,356,313,1811,1052,glutamate,FB4F_c
25709,172,182,2256,1697,gaba,ER2_c
25713,364,395,3098,2415,glutamate,FB5K
25763,397,353,1420,1317,glutamate,FB5N
25773,177,91,1561,1246,acetylcholine,PFNv
25792,142,147,1710,1702,acetylcholine,PEN_a(PEN1)
25797,160,152,2421,2198,gaba,ER4d
25808,191,317,1002,2089,acetylcholine,hDeltaC
25841,115,111,1457,1254,gaba,ER3w_b
